year,native_wage,migrant_wage,native_wage_skill_0,native_employment_skill_0,native_wage_skill_1,native_employment_skill_1,native_wage_skill_2,native_employment_skill_2,native_employment,migrant_employment,unemployment_rate,vacancy_rate,firm_count,output_per_capita,avg_productivity,firm_entry_stock,price_index,profit_rate,seed,native_wage_index_change_pct,native_wage_change_pct,native_wage_change_short_index
9,0.7822704591086419,0.5410817809243588,0.6643941659128451,0.9512195121951219,0.7796434116233266,0.9751381215469613,0.9038277196662305,0.943089430894309,0.9563636363636364,0.96,0.0432,0.970892716904642,356,0.6651791877026532,1.0235924968717505,356,0.9001587161945394,-2.6845706645078136,4,,,
10,0.7907250361194064,0.5533299814368666,0.675768131242854,0.8997289972899729,0.7890929429090849,0.9488950276243094,0.9073705675554329,0.8997289972899729,0.9159090909090909,0.8752941176470588,0.09066666666666667,0.6591091663428557,350,0.7106995826688925,1.0253180514703228,350,0.8907400919130118,-2.3768769180571905,4,1.1053151556527967,1.0807741635032506,1.1053151556527967
11,0.7927470359125057,0.5545793127311273,0.6840991386833463,0.9227642276422764,0.791114424813611,0.9475138121546961,0.9079451788985473,0.8834688346883469,0.9177272727272727,0.9129411764705883,0.08304761904761905,0.8404269189750421,343,0.7570694143735591,1.0253507471298084,343,0.8814200174558218,-2.2776358222116375,4,1.6309097006801085,1.3392525157860824,1.6309097006801085
12,0.7958392924400524,0.5563209967002718,0.6945810335168461,0.9417344173441734,0.7940579852319521,0.9585635359116023,0.9070360582072101,0.8726287262872628,0.9240909090909091,0.9388235294117647,0.07352380952380952,0.8380556327917723,338,0.8069115023698924,1.025445150236032,338,0.8721974616672944,-2.159685785483764,4,2.2491192371450066,1.734545025114647,2.2491192371450066
13,0.8005269521195267,0.5597195754170642,0.7007013711052222,0.94579945799458,0.7983489569015406,0.9654696132596685,0.9090645652374486,0.8888888888888888,0.9331818181818182,0.9411764705882353,0.06552380952380953,0.8679661045828274,338,0.8380984302858222,1.0254708584054513,338,0.8633249412844735,-2.131123718508619,4,2.8144532625608236,2.3337827471699746,2.8144532625608236
14,0.8048435118821284,0.5604254970124317,0.7104899985176152,0.9376693766937669,0.8014113560309397,0.9530386740331491,0.907050186784792,0.8970189701897019,0.9290909090909091,0.9341176470588235,0.0700952380952381,0.8443271584847106,336,0.8660504119851726,1.0260759210485344,336,0.854545590565495,-2.063408510856401,4,3.3621996547219433,2.8855816438738335,3.3621996547219433
15,0.8081133544322495,0.5580043621474666,0.7135032260320253,0.9092140921409214,0.8044163122780479,0.930939226519337,0.9102421509778883,0.8753387533875339,0.905,0.9129411764705883,0.09371428571428571,0.8558463877997132,328,0.884218710574707,1.0289994118270882,328,0.8457555441874772,-1.9090851782645424,4,3.759572251683279,3.303575511857409,3.759572251683279
16,0.8133625770919983,0.5607570410876219,0.7198971612687715,0.8821138211382114,0.8084521438423089,0.9060773480662984,0.912384570774714,0.8766937669376694,0.8881818181818182,0.9058823529411765,0.10895238095238095,0.8393225372747768,323,0.9053412246303283,1.0284697539526024,323,0.8378331380904386,-1.7588407314689065,4,4.331925663970461,3.9745995290151113,4.331925663970461
17,0.8164007352168174,0.5624141661848702,0.7269599100058671,0.8658536585365854,0.8089519100385525,0.9102209944751382,0.9132204904465738,0.8685636856368564,0.8813636363636363,0.88,0.11885714285714286,0.8103266670701382,315,0.9264586153163629,1.028413559552164,315,0.8291061245435343,-1.6427109937869817,4,4.738467145914103,4.36297647581698,4.738467145914103
18,0.8178892423645908,0.562587510846929,0.7339827526424144,0.8672086720867209,0.8092936978055687,0.9185082872928176,0.91101806768425,0.8644986449864499,0.8831818181818182,0.8635294117647059,0.12,0.824381131013833,313,0.9561197334029421,1.0301800513758603,313,0.8204686860350698,-1.5279114445058344,4,5.024197564841768,4.553256848856947,5.024197564841768
19,0.8205596084293701,0.5646557133921482,0.7402550997332232,0.8685636856368564,0.8145394233533262,0.9157458563535912,0.9100218225900926,0.8401084010840109,0.8745454545454545,0.8705882352941177,0.1260952380952381,0.8211097111759076,310,0.996990393435644,1.0313410050656158,310,0.8118993480157768,-1.2866136422591465,4,5.526424754079584,4.894617823656133,5.526424754079584
20,0.821445108410176,0.565671397532379,0.7416113635320335,0.8604336043360433,0.81646353346838,0.9129834254143646,0.9106802307806676,0.8197831978319783,0.8640909090909091,0.8682352941176471,0.13523809523809524,0.8223104127656189,304,1.0264163244156383,1.0336265126694446,304,0.8034357221502235,-1.0919858599884495,4,5.701016645136309,5.007813965795371,5.701016645136309
21,0.8258871637540036,0.5675422928742608,0.7513931743565923,0.8360433604336044,0.8196773955573768,0.8964088397790055,0.90920871545036,0.8130081300813008,0.8481818181818181,0.88,0.14666666666666667,0.8141370186754244,298,1.0739361074837968,1.0352487206945744,298,0.7950615797061205,-0.756334188606202,4,6.274917670934041,5.575655342406867,6.274917670934041
